cell_type,BTC_0004,BTC_0009,BTC_0010,BTC_0011,BTC_0012,BTC_0013,BTC_0014,BTC_0015,BTC_0016,BTC_0017,BTC_0018,BTC_0019,BTC_0020,BTC_0022,BTC_0023,BTC_0024,BTC_0025,BTC_0026,BTC_0028,BTC_0029,BTC_0030,BTC_0032,BTC_0033,BTC_0034,BTC_0035,BTC_0036,BTC_0037,BTC_0038,BTC_0039,BTC_0040,BTC_0042,BTC_0045,BTC_8002
B cell plasma_CIBERSORT-ABS,0.0460321958956771,0,0,0.5391478033612,0,0.0653274492358371,0,0,0,0.0343652171809459,0.0771650971712172,0,0.000699093151011216,0,0.0721466227740048,0.0421564535363319,0,0.0630580552598716,0.0516580875329795,0.0223423963066328,0,0.00126206493411663,0.196122201729857,0.0825924523622891,0.163803751047049,0.0351441405949782,0.0698125117300905,0.0754716085713555,0.045583846395527,0.0166215912750983,0.113341369432965,0,0.00013147044606477
T cell CD8+_CIBERSORT-ABS,0.10876182557727,0,0.0592870441767039,0.415390796723917,0.0704126089200334,0,0,0,0,0,0,0,0,0.119706495452416,0.51619057982141,0,0.106789416974777,0.0960611094796312,0.227694980363153,0,0,0.499962456587363,0.133861314933068,0,0.0929720757300454,0,0,0,0.00791877204054227,0.119441066752731,0,0,0
T cell CD4+ naive_CIBERSORT-ABS,0,0,0.0351958508571612,0,0,0,0,0.0219666068110692,0,0,0.0010381384665943,0,0,0,0,0,0,0,0,0,0.0037442870262219,0,0,0.0111623940757685,0,0,0,0.109225275381613,0.0428474498884198,0,0.0741795192366872,0,0.00291951971132674
T cell CD4+ memory resting_CIBERSORT-ABS,0.0387273365576412,0.129018410113531,0.135338581888803,0.2853797814257,0.0253314970129104,0.181590827811059,0,0.285741969963707,0.265708659629498,0.0837231389555274,0.205344473751969,0.0763173314661922,0.0913162668144318,0.1732772527026,0.389791925851728,0.0481203534630044,0.0295978950942567,0.239866002715703,0.37681591087059,0.256972276636403,0.225760911481747,0.245467961898572,0.321067477819631,0,0,0.36991157734657,0.10295693596591,0.0513146154122204,0.0103905518943792,0.472421403947956,0.0385924028766919,0,0
T cell CD4+ memory activated_CIBERSORT-ABS,0,0,0,0.237907721541536,0,0,0,0,0,0,0,0,0,0,0.0395012925936866,0,0.00728599733282697,0,0.00104737938206112,0,0,0,0.272107525688803,0.0352358375455271,0,0,0,0,0,0,0,0,0
T cell follicular helper_CIBERSORT-ABS,0.047481771556239,0.0838122997572377,0.0305375971557007,0.253061162758559,0.123439738557966,0,0,0,0.0468365430729663,0.0643753518836633,0,0.0136932324953864,0.00614310075079943,0.175157708605597,0.207577596371551,0.0200172256377403,0.115291027601184,0.205347640763824,0,0.0375643292663742,0.054845501070163,0.167690923204345,0.0542307108724892,0.0282774826937854,0.103895086228775,0,0.0434277336160321,0.000383179331478446,0,0.045286077256825,0.00697067500475769,0,0.000426322898444598
T cell regulatory (Tregs)_CIBERSORT-ABS,0.0212569637916049,0,0,0,0.0756047919486433,0,0,0.0235703483899189,0.000337337693132552,0.0106028403414103,0,0,0,0.104045015779619,0.0336850940172339,0,0,0,0.00837836550906927,0,0.0432399874068968,0.012136698172884,0,0,0.0283305581288457,0,0,0,0.0440481362324718,0,0,0,0.000438429798077151
T cell gamma delta_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148162816496375
NK cell resting_CIBERSORT-ABS,0,0,0.0029528368561892,0.280432434212644,0,0.0014144543381051,0,0.0396227870603973,0.0102209934635261,0.0327305667406333,0,0.00187739184166443,0.00851333461211518,0,0,0,0.0427499685486821,0,0,0,0.0726945101257439,0,0.128295602464697,0,0.0670863676079755,0.000324595685747007,0,0.000988673115837897,0.0886356204312651,0.249029575021043,0.00608271154896112,0,0
NK cell activated_CIBERSORT-ABS,0.0807020073728711,0.0710701255930467,0.128361570873427,0,0.0438590602453841,0,0,0,0.0396045503082554,0.0190924588804754,0.072968731772527,0.0459393396700273,0.0141857252364817,0.0105555168716163,0.320178385562946,0.0256037317157579,0,0.176822372132494,0.0395136315638469,0.108867304900197,0,0,0.234336536408711,0.0241053408703708,0,0.147959100603396,0.028703939300524,0.0211446224026913,0,0,0,0,0.00143768676118654
Monocyte_CIBERSORT-ABS,0,0.0315568183526867,0.015799246412586,0,0.0217104005196141,0,0,0.00838818380269779,0.0701819275522096,0,0.00334125559229671,0.0193348002052217,0,0,0.155993474592713,0,0,0,0.0671260591912439,0.0334656896445406,0.0320397874113998,0.153376979830633,0.110887047193267,0,0,0,0,0.0392190504524354,0.00253125511689457,0.0691615389162841,0,0,0
Macrophage M0_CIBERSORT-ABS,0.222166882322396,0.0699097562057598,0.0204243758192422,0.381092532968123,0.0699891414525449,0.237354224506469,0,0.171213399650554,0.106335468916173,0.540826161621816,0.0190290365959567,0.207533682347048,0.0834983358008524,0.149224397332657,0.252791139000082,0.0375678717160441,0.0935429515217945,0.0877680389379771,0,0.196960852020186,0,0.00796565466764935,0.0372943816689151,0.217916460428811,0.338126925968123,0.0891480304109659,0.113707394017165,0.171576851284539,0,0,0.170728077339975,0,0.0461184597984234
Macrophage M1_CIBERSORT-ABS,0.111781484512972,0.00180087890815642,0.00757315990583707,1.01960913279658,0,0,0,0,0.00249505013230846,0.0154812960537278,0.0389247001284725,0.0163100095732698,0,0.00159217015753891,1.02130402573975,0.017485865640209,0.172737845003263,0.359434464702744,0.031177648799265,0,0.127185092694496,0.577200825137002,0.275332047859805,0.0297332580312585,0.0416920258148667,0.0255614565666191,0,0.0362585355476106,0,0.120669387081655,0.0372400775136118,0,0.000153167290619512
Macrophage M2_CIBERSORT-ABS,0.209846959240496,0.00445777349783949,0.250366743420153,0.367113050044011,0,0.104329056442814,0,0.0695136646169335,0,0.0756176272489112,0.296519012738622,0,0.0624849683332796,0,0.334086100252196,0.349440693602072,0.435790781697151,0.208790115647679,0.452350568810361,0.0656500135113044,0.272962962042645,0.459144321689477,0.113448237927011,0.212479568396723,0.5911354034946,0.0415066653200742,0.100497810602611,0.547848764476441,0.0826400112211958,0.625137933281531,0.320755860305833,0,0.00890866369147122
Myeloid dendritic cell resting_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803606059461554,0,0,0.0341496689628371,0.0102523005839229,0,0,0.0090354276818791,0.00979401855256894,0,0,0,0,0.0369016593079514,0,0.106208108388573,0.0581580220129355,0,0.000139411109191782
Myeloid dendritic cell activated_CIBERSORT-ABS,0,0.0104080792362785,0,0.0917369314421544,0.0124889476415571,0.0465122980338014,0,0,0,0.0325445095991408,0.00134372061051302,0.0869504893528486,0,0,0,0.0565123477371961,0,0,0.0227647214138714,0,0,0,0,0.00705028668630589,0.282327116632931,0.000863445442039137,0,0,0.0192204741660308,0.00797390140876616,0.00465215240981302,0,0
Mast cell activated_CIBERSORT-ABS,0,0,0.0780378948452175,0,0,0,0,0,0,0.110744392659399,0.00652917752718615,0.0525549918874432,0,0,0,0,0,0.00226281778540953,0,0,0.0517572336655511,0.151327390002869,0.156310769391721,0.0158648358288583,0,0.0538463830971396,0,0,0,0,0,0,0.0430664154813022
Mast cell resting_CIBERSORT-ABS,0.341318443789308,0.0241886283988373,0,0.00748414866106896,0.0412585995604683,0.0704309318882043,0,0.0409560733063187,0,0,0,0,0.0484300906994604,0.185062443097957,0.0599758085688121,0,0.0263318985582606,0,0.0698332456728965,0,0,0,0,0,0.178549937515619,0,0.00332725667982309,0,0.0541618850978599,0.0722123689708673,0,0,0
Eosinophil_CIBERSORT-ABS,0,0.142783285291156,0.123631113615093,0,0.047823205615108,0.0600995306500829,0,0.0388886213823516,0.0447142102815962,0,0,0.0482788595885819,0,0,0,0,0,0.0162896366827633,0.0389447443696635,0.14592417701556,0.0360653562370477,0.308426665764649,0.0272139174596069,0,0.0207252377775191,0.119331093728439,0.0567529694238632,0,0.123146139874758,0,0.0275296737486687,0,0.00964188289838668
Neutrophil_CIBERSORT-ABS,0.0167363397386686,0,0.142231761788226,0.350096012750818,0.00984686856516656,0.0359211733343212,0,0,0,0.0775059954961256,0.0231272482758199,0.00172702872173969,0.00221011635275175,0,0,0.0789418674561913,0.0684208076199163,0.0470737531141233,0.0320434397478166,0.0893941279607535,0,0,0,0.0626122481835307,0.110678530767282,0.0987704370969383,0,0.0109314111923996,0.0227234300734465,0.0700951328286048,0.0484430262282209,0,0
B cell_QUANTISEQ,0.0191635278120435,0.0149799273438999,0.0151447491358833,0.0230330402672584,0.0106720688224425,0.0266996628191299,0.00199397513553858,0.0203369815170845,0.00548294587113024,0.00935152052230392,0.024645241795208,0.0134274192404643,0.00293992543365744,0.00833886348955481,0.02259210034731,0.0127504702953441,0.0174340465724056,0.033938053463439,0.0154657569281726,0.0227763329681522,0.0260037574583948,0.0700903621717292,0.0196240180751666,0.0321290438065091,0.014395164717061,0.0223592984477044,0.0141293387972733,0.0202423681863841,0.0120471390601915,0.015982284588601,0.0139494476160909,0,0.000951887282134686
Macrophage M1_QUANTISEQ,0.0325155074846819,0.00885395283360912,0.0459231595334864,0.0800364353836249,0.0126045067668375,0.050418688691592,0.0125486009679652,0.0190249475392099,0.00747689566775673,0.0312875829801704,0.033296200010616,0.0771377933795411,0.0122657256381438,0.0125861859083721,0.0936856061328496,0.0208847740869241,0.0236109837899539,0.0589115656181188,0.10377481276889,0.0627764711503921,0.0531075324588118,0.0623478155679705,0.0310526134441859,0.0775982256646734,0.0617513727815246,0.0628473792906395,0.0228853003922825,0.0340560957828431,0.029358830721682,0.0245879402654319,0.029142791098489,0,0
Macrophage M2_QUANTISEQ,0.0138454563019348,0.00618441417971143,0.00328637705984753,0.00112311674244943,0.0048239446451929,0.0136683328374327,0,0.00916456570827528,0.00847006941867492,0.00792245872719708,0.00984985080085653,0.000398595389502631,0.00990216369388578,0.00846003646565713,0.00164606908662119,0.00590863213424514,0.00743275518663937,0.00232525309758261,0.00443038661469453,0,0.0031928950832147,0.0188660029186605,0.0043262746917227,0,0,0.00583161422202933,0.0156198256886884,0.00611806433586749,0,0.00402478382783461,0.00421768766159972,0.00846362738897518,0.000364340860921226
Monocyte_QUANTISEQ,0,0,0.0159296863061513,0,0,0,0,0,0,0.00269376914581058,0.0231830847789576,0.021411948414844,0,0,0,0,0.0126311020915008,0.0401660812304659,0.0310207778510553,0.0173600464318212,0.0809782287478013,0.0114232163507227,0,0,0.00386202267592415,0,0,0.0166844139900104,0,0,0.0121858112532358,0,0
